sqft_living,sqft_lot,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
3520,6773,0,0,3,2650,870,2006,0
2210,4861,0,0,3,2210,0,2013,1923
2790,5602,0,0,3,2790,0,2009,0
1450,5008,0,0,3,840,610,2007,0
1620,4980,0,0,4,860,760,1947,1988
1220,1086,0,0,3,1220,0,2007,0
2000,5000,0,0,4,1110,890,1921,0
2190,7350,0,0,5,2190,0,1958,0
1900,8250,0,0,4,950,950,1955,2009
1700,4400,0,0,4,1700,0,1906,1990
2540,3832,0,0,5,1760,780,1929,0
1170,8925,0,2,3,1170,0,1911,1979
5774,31675,0,2,3,4490,1284,1984,0
2120,15003,0,0,3,2120,0,1984,0
2170,26460,0,0,3,1450,720,1986,0
2450,15002,0,0,5,2450,0,1974,0
700,5200,0,0,5,700,0,1952,1998
1780,7214,0,0,4,1400,380,1986,0
1850,8250,0,0,4,1150,700,1952,0
1570,5706,0,0,3,1570,0,1998,2006
1290,5500,0,0,3,980,310,1951,1994
1700,7314,0,0,3,1000,700,1956,2001
1159,4800,0,0,3,1159,0,1948,1994
1850,9600,0,0,5,1850,0,1965,0
840,3522,0,0,3,840,0,1947,2012
1690,1618,0,0,3,1150,540,2014,0
1050,9876,0,0,3,1050,0,1953,0
1400,3825,0,0,4,1100,300,1904,0
2550,7200,0,2,3,2550,0,1981,2013
1840,5011,0,0,3,1840,0,2012,1912
2360,6750,0,0,5,1930,430,1926,0
2240,14667,0,0,4,2240,0,1989,0
2700,4004,0,0,3,2700,0,2004,2003
3030,30007,0,0,4,3030,0,1992,0
1830,5120,0,2,5,1830,0,1903,0
2220,6049,0,0,4,2220,0,1990,0
2090,7640,0,0,3,1360,730,1962,2014
1600,6120,0,0,3,1600,0,1924,2011
2010,8625,0,0,4,1340,670,1957,2001
830,4000,0,0,3,830,0,1955,2005
2010,7226,0,0,3,2010,0,1995,0
1050,5402,0,0,4,1050,0,1906,1990
2150,39449,0,0,3,1420,730,1978,0
860,11900,0,0,4,860,0,1963,0
3100,20553,0,0,3,3100,0,1954,2005
1100,17334,0,0,3,1100,0,1978,0
1830,8000,0,0,4,1830,0,1957,2001
1250,34395,0,0,4,1250,0,1950,1983
1820,4883,0,0,3,1820,0,2005,0
2090,42689,0,0,3,2090,0,1959,1998
2100,12384,0,0,3,2100,0,1980,0
2310,14023,0,0,3,2310,0,1991,0
2060,5649,0,0,5,1360,700,1941,0
4470,60373,0,0,3,4470,0,1988,2000
1660,7500,0,0,4,1060,600,1940,2001
3810,8019,0,0,3,3810,0,2008,0
2110,10200,0,0,4,2110,0,1966,0
2370,217800,0,0,3,1600,770,1992,0
1970,3716,0,0,3,1970,0,1997,0
2470,33305,0,0,3,2470,0,1993,0
1480,7830,0,0,3,1480,0,1952,2008
2257,10117,0,0,3,1363,894,2005,0
700,6000,0,0,4,700,0,1949,1985
1630,9010,0,0,4,1050,580,1975,0
3430,10157,0,0,3,3430,0,2000,0
2220,6000,0,0,3,1420,800,1923,1998
1340,7473,0,0,4,1340,0,1973,0
980,2130,0,0,4,860,120,1918,1974
2580,13096,0,0,3,2580,0,1986,0
2230,4541,0,0,3,2230,0,2006,0
2290,11137,0,0,4,2290,0,1955,2009
1260,8280,0,0,3,1260,0,1946,0
1680,11180,0,0,4,1680,0,1966,0
3200,7081,0,0,3,3200,0,2004,2003
3320,7644,0,0,3,3320,0,1995,0
3040,24123,0,0,3,3040,0,1999,0
2270,7375,0,0,4,1290,980,1973,0
2910,17172,0,0,3,2910,0,1989,0
2510,9887,0,0,3,2510,0,1972,2002
1240,7200,0,0,3,1240,0,1967,2011
2580,5200,0,0,3,2580,0,2008,0
2470,3600,0,0,3,2470,0,2007,0
4910,9444,0,0,3,3110,1800,2007,0
1690,5025,0,0,3,1690,0,2003,0
2240,12032,0,0,3,2240,0,1983,2009
1650,7352,0,0,3,1160,490,1979,2014
2710,5880,0,0,3,2710,0,1998,2006
1260,10350,0,0,3,1260,0,1959,1989
1150,8100,0,0,3,1150,0,1932,0
2550,7636,0,0,3,1440,1110,1986,0
1490,6930,0,0,4,1490,0,1990,0
2020,7865,0,0,4,1010,1010,1963,0
1320,4520,0,1,3,1320,0,1912,1971
1230,10350,0,0,4,1230,0,1957,2001
2070,7800,0,0,3,2070,0,1989,0
2930,11562,0,3,3,1670,1260,1947,2012
1090,8520,0,0,3,1090,0,1967,2011
1400,7066,0,0,3,1400,0,1957,2000
1550,4815,0,0,3,1550,0,1909,2004
1220,13000,0,0,4,1220,0,1955,2009
1870,7344,0,0,3,1470,400,1980,0
2150,30476,0,0,3,2150,0,1991,0
980,3090,0,0,3,980,0,1903,2005
1490,8475,0,0,4,1490,0,1963,0
1120,7000,0,0,3,1120,0,1955,2005
1180,9630,0,0,3,1180,0,1986,0
3240,20301,0,0,3,3240,0,1985,0
2150,6807,0,0,4,2150,0,1991,0
2240,10800,0,0,3,2240,0,1996,0
1400,7384,0,0,3,1150,250,1979,2014
1980,40887,0,0,4,1980,0,1980,0
1330,20562,0,0,3,1330,0,1959,1989
3200,7535,0,0,3,3200,0,2006,0
1490,6000,0,0,3,1090,400,1946,0
3920,16258,0,0,3,2900,1020,1990,2009
2000,3750,0,0,4,2000,0,1921,0
2680,9185,0,0,3,2680,0,1989,0
1670,9987,0,0,3,1670,0,1967,2011
3150,9130,0,0,3,3150,0,2001,0
2740,7266,0,0,3,2060,680,2003,0
1890,8000,0,0,4,1250,640,1960,2001
2870,29699,0,0,3,1520,1350,1961,2004
1160,10384,0,0,4,1160,0,1969,0
3550,19865,0,0,3,3550,0,1962,2002
1790,6117,0,2,3,1350,440,1940,1996
1680,250470,0,0,4,1070,610,1940,2001
4560,17622,0,0,4,3800,760,1986,0
1590,7748,0,0,4,1590,0,1991,0
1630,10304,0,0,5,1630,0,1953,0
2700,7434,0,0,3,2700,0,1991,0
1700,7496,0,0,3,1700,0,1994,0
3740,12080,0,0,3,2000,1740,1988,2000
1980,5352,0,0,3,1980,0,1941,2005
880,6345,0,0,3,880,0,1919,2001
1400,6200,0,0,3,700,700,1948,1994
2050,4000,0,0,5,1210,840,1941,0
2360,4638,0,3,3,2360,0,1996,0
2560,7798,0,0,4,1890,670,1947,1988
1340,10224,0,0,4,1340,0,1956,0
1060,5200,0,0,5,1060,0,1970,0
850,2500,0,0,3,850,0,1986,0
1880,7303,0,0,3,1010,870,1976,0
1230,12305,0,0,3,1230,0,1955,1990
2290,10290,0,0,3,1340,950,1960,2012
1660,6582,0,0,5,1000,660,1946,0
1840,2875,0,0,4,1840,0,1997,0
3020,17810,0,0,3,1600,1420,1979,2014
1410,6886,0,0,3,1410,0,1924,2013
1010,9514,0,0,3,1010,0,1969,2010
1960,8136,0,0,3,980,980,1948,1994
3580,14275,0,0,3,3190,390,1999,0
2240,7200,0,0,3,2240,0,1995,0
3310,5404,0,0,3,3310,0,2004,2003
1232,1130,0,0,3,1232,0,2007,0
3930,5680,0,1,3,2820,1110,2013,1923
1720,3600,0,0,3,1720,0,2010,0
1490,974,0,0,3,1220,270,2009,0
3150,151588,0,0,3,3150,0,2007,0
3950,10856,0,0,3,3950,0,2013,1923
3030,10335,0,0,3,3030,0,2013,1923
1070,9643,0,0,3,1070,0,1985,0
2320,36847,0,2,3,2320,0,1992,0
700,5100,0,0,3,700,0,1942,1999
2720,6439,0,0,3,2720,0,2005,0
1800,5761,0,0,4,1800,0,1990,0
1560,4049,0,2,3,1000,560,1926,2003
1760,11410,0,0,5,1060,700,1977,0
3120,5000,0,0,3,2370,750,2005,0
2020,7200,0,3,4,1700,320,1947,1988
1450,2400,0,0,3,1450,0,1900,2003
1860,7000,0,0,3,1120,740,1979,2014
2270,7800,0,0,3,1290,980,1977,2004
1480,15639,0,0,3,1480,0,1987,2000
1460,6032,0,0,4,1460,0,1941,1998
1850,6519,0,0,3,1130,720,1986,0
2170,5000,0,0,3,2170,0,2003,0
1726,197326,0,0,4,1726,0,1982,2011
1180,10541,0,0,4,940,240,1981,0
1370,9957,0,0,3,900,470,1972,2002
2670,13218,0,0,4,2670,0,1988,0
1260,6826,0,0,3,720,540,1944,0
1980,7991,0,0,3,1980,0,1962,2003
2050,3933,0,0,3,1180,870,1926,2001
2830,5310,0,0,3,2830,0,2006,0
910,3600,0,0,4,910,0,1909,1989
2440,4000,0,0,3,2440,0,2009,0
2180,5440,0,0,5,1100,1080,1904,0
1900,6660,0,0,5,950,950,1966,0
1520,1221,0,0,3,1520,0,2013,1923
2220,6641,0,2,4,1220,1000,1947,1988
3280,24440,0,0,3,3280,0,1996,0
2740,83199,0,4,3,2740,0,1973,2013
830,6017,0,0,4,830,0,1954,1979
1010,5200,0,0,3,1010,0,1955,2005
2060,38377,0,0,4,1560,500,1978,2000
1990,7340,0,0,3,1990,0,1984,0
2280,7568,0,0,4,2280,0,2001,0
1870,5874,0,0,3,1870,0,2005,0
1720,4000,0,0,4,1450,270,1921,0
870,6150,0,0,3,870,0,1941,1994
1020,1204,0,0,3,720,300,2004,2003
1260,3135,0,0,3,1260,0,1931,0
2370,7875,0,0,3,2370,0,2003,0
1000,18513,0,0,3,1000,0,1940,1996
1100,1751,0,0,3,940,160,2007,0
1440,7673,0,0,3,940,500,1982,0
3120,14300,0,0,3,3120,0,2003,0
2260,9604,0,0,3,2260,0,1990,2009
2790,7956,0,0,3,2790,0,2005,0
1140,6700,0,0,3,1140,0,1920,1979
1290,2500,0,0,4,1290,0,1987,0
1730,5200,0,0,4,1050,680,1978,2000
3160,11380,0,0,3,3160,0,1983,2009
2340,8990,0,0,3,2340,0,2003,0
1170,4950,0,0,4,1170,0,1960,2001
1160,5000,0,0,4,1160,0,1937,0
1970,24318,0,0,3,1970,0,2010,0
6490,10862,0,3,4,3940,2550,1991,0
1410,1377,0,0,3,1290,120,2005,0
2430,5000,0,0,3,2430,0,2009,0
3360,5402,0,0,3,3360,0,2014,0
1480,1663,0,0,3,1180,300,2012,1912
3200,6455,0,0,3,3200,0,2009,0
2134,1984,0,0,3,2134,0,2008,0
1860,1787,0,0,3,1860,0,2007,0
5520,8313,0,3,3,3570,1950,2008,0
1310,1500,0,0,3,1160,150,2006,0
1700,4250,0,0,3,890,810,1944,0
2480,8342,0,0,3,2480,0,1986,0
1970,8605,0,0,4,1970,0,1994,0
2060,7475,0,0,3,1440,620,1985,0
2130,3500,0,0,4,1210,920,1994,0
1410,14110,0,2,3,1170,240,1987,2000
1360,4688,0,0,3,780,580,1944,0
1940,55756,0,0,5,1940,0,1954,0
1610,2040,0,0,4,1610,0,1979,0
1420,9191,0,2,5,1420,0,1928,1970
1700,7280,0,0,4,1700,0,1988,0
1490,3825,0,0,3,860,630,1929,0
2680,7757,0,0,3,2680,0,1990,2009
3190,8684,0,3,5,1680,1510,1967,0
2120,7700,0,0,5,2120,0,1962,0
1690,3250,0,0,3,1550,140,1901,0
1830,8601,0,0,3,1830,0,2003,0
1010,1968,0,0,5,1010,0,1906,0
2070,9300,0,0,5,1120,950,1945,0
1710,4500,0,0,3,1410,300,1928,1954
1660,4690,0,0,3,1260,400,1945,2010
2080,13629,0,0,4,1040,1040,1955,2009
1270,9675,0,0,3,1270,0,1993,0
1080,21043,0,0,3,1080,0,1942,1999
1610,5100,0,0,5,1610,0,1940,0
1120,9912,0,0,4,1120,0,1980,0
2500,5257,0,0,3,2500,0,1966,1963
970,7275,0,0,4,970,0,1970,0
3370,5000,0,0,4,2140,1230,1907,0
1290,189486,0,0,4,1290,0,1960,2001
3370,435600,0,3,3,3370,0,2005,0
3410,10769,0,0,3,3410,0,2008,0
2490,8290,0,0,3,2490,0,1999,0
770,4000,0,0,5,770,0,1924,1956
810,3211,0,0,4,810,0,1982,2011
3060,10043,0,0,4,1700,1360,1968,0
1690,1613,0,0,3,1150,540,2014,0
1890,3825,0,0,3,1290,600,1974,0
1470,3128,0,0,3,1470,0,2005,0
1060,7193,0,0,3,1060,0,1926,2003
3480,59242,0,0,3,3480,0,1988,2000
2730,3560,0,0,3,1550,1180,1921,2007
1580,7941,0,0,4,1580,0,1986,0
2170,7900,0,0,4,1380,790,1978,2000
930,4743,0,0,4,930,0,1942,1982
1580,7800,0,0,2,1580,0,1906,0
3290,11900,0,0,3,3290,0,1973,2013
2110,10698,0,0,4,2110,0,1979,0
1670,3565,0,0,3,1670,0,1999,0
2030,7350,0,0,4,1190,840,1977,0
1500,4100,0,0,3,1370,130,1926,2003
1450,1445,0,0,3,980,470,2005,0
1310,8250,0,0,3,1060,250,1953,0
4180,49222,0,0,4,2880,1300,1979,0
1630,28600,0,0,3,1630,0,1967,2011
2660,10452,0,0,3,2660,0,1993,0
1720,1916,0,0,3,1720,0,2005,0
1260,1240,0,0,3,1260,0,2004,2003
1610,12247,0,0,3,1610,0,1981,2013
680,8064,0,0,3,680,0,1941,1994
2640,5900,0,2,3,2640,0,1937,1998
1640,7200,0,0,4,1640,0,1985,0
2310,8045,0,0,4,1650,660,1976,1992
2010,4905,0,0,5,1230,780,1912,0
1660,4680,0,0,5,830,830,1908,0
2200,3360,0,0,3,2200,0,2009,0
2460,4200,0,0,3,2460,0,1998,2006
2430,23400,0,4,3,2430,0,1951,1994
1370,7500,0,0,3,1370,0,1960,2012
1800,10200,0,0,3,1800,0,1967,2011
2200,7706,0,2,3,2200,0,1908,1988
700,2334,0,0,3,700,0,1945,2010
1920,15124,0,0,3,1920,0,1995,0
2190,12687,0,0,5,1370,820,1978,0
2030,9791,0,0,4,1500,530,1984,0
1350,2053,0,0,3,1350,0,2005,0
1680,2096,0,0,3,1380,300,2008,0
1250,10530,0,0,4,1250,0,1966,0
2240,6000,0,0,4,1270,970,1914,1945
950,7620,0,0,3,950,0,1954,2005
2320,3174,0,0,3,2060,260,1997,0
2380,9374,0,2,3,2380,0,2011,0
1540,958,0,0,3,1540,0,2007,0
2100,9752,0,0,3,1200,900,2007,0
2500,4945,0,0,3,2500,0,2013,1923
3230,7331,0,0,3,3230,0,2004,2003
2830,5802,0,0,3,2830,0,2001,0
870,5340,0,0,2,870,0,1906,0
2690,28300,0,0,3,2690,0,1954,1999
1260,889,0,0,3,1260,0,2008,0
2680,10000,0,0,3,2040,640,1942,2014
2660,4975,0,0,3,2660,0,2014,0
1480,5120,0,0,4,840,640,1951,1999
1770,33132,0,0,4,1190,580,1965,0
950,7692,0,0,3,950,0,1926,2003
860,8308,0,0,4,860,0,1948,0
1960,7560,0,0,5,1160,800,1978,0
1770,5522,0,0,4,960,810,1943,0
1280,6060,0,0,3,860,420,1926,2003
2150,12028,0,0,4,2150,0,1982,2011
1790,4000,0,0,4,1040,750,1923,0
1990,10260,0,0,4,1990,0,1987,0
2430,4781,0,0,3,2430,0,2001,0
2820,13193,0,0,3,1860,960,1965,1993
1910,8190,0,0,4,1010,900,1946,1989
1270,1213,0,0,3,1040,230,2005,0
2050,3960,0,0,4,1180,870,1986,0
2150,4505,0,0,3,1270,880,1952,2008
2450,13300,0,2,4,1630,820,1987,0
1230,1280,0,0,3,960,270,2012,1912
2260,41984,0,0,4,2260,0,1967,0
1050,60113,0,0,4,1050,0,1943,0
1570,7775,0,0,3,1570,0,1982,0
1820,9350,0,0,4,1820,0,1967,0
1540,4025,0,0,4,1190,350,1908,0
2060,44866,0,0,3,2060,0,1953,0
4380,74052,0,0,3,4380,0,2001,0
1090,9900,0,0,4,1090,0,1955,2009
1480,7225,0,0,4,1480,0,1965,0
1320,4440,0,0,3,1320,0,1929,0
2140,10350,0,0,3,1470,670,1976,0
4560,16643,0,3,3,2230,2330,1995,0
2800,9764,0,0,3,2800,0,2002,0
1050,5000,0,0,4,1050,0,1967,0
1490,9630,0,0,4,1490,0,1959,0
1730,6375,0,0,4,1730,0,1945,0
1210,3760,0,0,3,1210,0,1900,2005
2800,8494,0,0,3,2800,0,2004,2003
1570,1050,0,0,3,1570,0,1915,0
1400,31626,0,0,2,1140,260,1987,0
2850,7861,0,4,4,1450,1400,1970,0
1880,7200,0,0,4,1880,0,1966,0
790,8424,0,0,4,790,0,1953,1983
1300,4000,0,0,3,1300,0,1948,1994
2120,7735,0,0,4,1060,1060,1967,0
1540,4773,0,0,3,1540,0,1941,2009
2620,13777,0,2,4,1720,900,1926,1993
2880,3192,0,0,4,2180,700,1919,1985
1680,4021,0,0,3,1680,0,1921,2000
790,6969,0,0,3,790,0,1955,1984
1092,7500,0,0,3,1092,0,1918,0
1650,9936,0,0,3,1090,560,1967,2011
2090,4700,0,0,3,2090,0,2002,0
2180,28710,0,0,3,1180,1000,1950,2005
1990,6671,0,0,3,1990,0,1989,0
2650,7945,0,0,3,2650,0,2006,0
4460,16953,0,0,3,2550,1910,1962,1994
910,8000,0,0,4,740,170,1950,1983
2770,10773,0,2,3,2770,0,1992,0
2390,6888,0,1,5,2390,0,1939,0
3050,158558,0,0,4,3050,0,1987,0
1700,4000,0,0,3,1700,0,2003,0
3200,43560,0,0,3,3200,0,1989,0
1200,4500,0,0,5,1200,0,1906,0
2220,6953,0,0,4,2220,0,1999,0
2480,9041,0,0,3,2480,0,2004,2003
2560,12100,0,0,4,1760,800,1976,1992
2500,6300,0,0,4,1500,1000,1961,2001
1150,4000,0,0,3,1150,0,1947,2012
1650,7775,0,0,4,1150,500,1950,1983
1140,9628,0,0,4,1140,0,1969,0
3400,8965,0,2,5,1820,1580,1957,0
1180,43124,0,0,4,1180,0,1959,0
1700,4105,0,0,3,1700,0,1992,0
1240,11200,0,0,4,1240,0,1954,1979
2890,12478,0,0,3,2890,0,1977,2004
1060,10050,0,0,4,1060,0,1967,0
1590,10523,0,0,4,1590,0,1922,0
2860,5682,0,0,3,2860,0,1978,0
820,1060,0,0,3,760,60,2007,0
2020,8118,0,0,3,1020,1000,1963,2008
1870,9680,0,0,4,1170,700,1959,0
2170,4905,0,0,3,2170,0,2004,2003
1600,6765,0,0,3,830,770,1947,2011
2090,4300,0,0,4,1250,840,1925,1968
1700,6025,0,0,3,1700,0,1978,0
1940,6909,0,0,4,970,970,1941,1998
1320,8625,0,0,4,1320,0,1957,2001
3500,13875,0,4,4,1830,1670,1938,0
2800,5120,0,0,3,2800,0,1903,2005
1080,2940,0,0,4,1080,0,1920,0
3550,8048,0,0,3,3550,0,2007,0
2010,251341,0,0,3,1510,500,2003,0
1690,1468,0,0,3,1380,310,2008,0
1270,1443,0,0,3,1270,0,2007,0
1970,2377,0,0,3,1680,290,2008,0
3160,8097,0,0,3,3160,0,2014,0
1210,1200,0,0,3,1210,0,2008,0
3120,5086,0,0,3,2480,640,2008,0
2670,8765,0,0,3,2670,0,2006,0
1640,1204,0,0,3,1640,0,2014,0
2303,3680,0,0,3,2303,0,2013,1923
1800,3168,0,0,3,1800,0,2014,0
4460,2975,0,2,3,3280,1180,2013,1923
1590,2656,0,0,3,1220,370,2009,0
3070,4684,0,0,3,2190,880,2009,0
1330,7200,0,0,3,1330,0,1993,0
990,6750,0,0,4,990,0,1947,1988
1900,5790,0,0,3,1900,0,1994,0
2020,1159,0,3,3,2020,0,2000,0
2000,9416,0,0,4,2000,0,1961,2001
1100,7600,0,0,3,1100,0,1980,0
960,40946,0,0,5,960,0,1945,0
3488,9614,0,0,3,3488,0,1998,2006
1890,9466,0,0,3,1890,0,1987,2000
2030,8120,0,0,3,2030,0,1950,2005
1380,7350,0,0,3,990,390,1981,2013
3660,5800,0,0,3,3360,300,1909,1995
1870,3230,0,0,3,1870,0,1997,0
2080,12007,0,0,4,1220,860,1979,0
2450,14803,0,0,4,2450,0,1988,0
2750,6180,0,0,4,1500,1250,1948,0
1240,4842,0,0,4,1240,0,1916,0
1900,7604,0,0,3,1900,0,1990,2009
2540,6093,0,0,3,2540,0,1999,0
2100,10362,0,0,3,1510,590,1998,2006
1790,2250,0,2,4,840,950,1909,1989
1170,7258,0,0,3,1170,0,1984,0
1060,9126,0,2,5,1060,0,1956,0
1930,6120,0,0,3,1930,0,1941,1969
1540,7947,0,0,3,1120,420,1961,2004
2876,13927,0,2,4,1970,906,1973,0
2150,7484,0,0,3,2150,0,1988,2000
1140,5500,0,0,3,1140,0,1947,2012
980,7790,0,0,5,980,0,1969,0
1230,13056,0,0,4,1230,0,1962,0
1390,10905,0,0,3,860,530,1957,2000
2380,6250,0,3,3,1670,710,1997,0
3690,7200,0,0,3,3690,0,2007,0
3010,1074218,0,0,5,2010,1000,1931,0
1250,9126,0,0,3,1250,0,1969,2010
2290,6120,0,0,4,2170,120,1926,1993
790,5240,0,0,4,790,0,1925,1968
2720,6014,0,0,3,2720,0,2002,0
2550,8632,0,0,3,1700,850,1972,2002
1080,3899,0,0,4,1080,0,1972,0
2470,9620,0,1,4,1570,900,1962,0
850,7710,0,2,5,550,300,1909,1988
1990,8991,0,0,3,1570,420,1969,2010
1800,10500,0,0,3,1800,0,1995,0
4850,36450,0,0,3,4850,0,1977,2004
1020,7874,0,0,3,1020,0,1956,2001
2420,49928,0,0,3,1860,560,1985,0
2910,5776,0,2,3,2910,0,1998,2006
1060,9039,0,0,3,1060,0,1973,2013
2340,6420,0,2,3,1590,750,1964,2000
1800,5453,0,0,3,1050,750,2002,0
1660,6150,0,0,3,850,810,1945,2010
1300,62290,0,0,3,1300,0,1983,2009
1780,23819,0,0,3,1780,0,1953,0
1030,4841,0,0,3,920,110,1939,1969
2790,5420,0,3,3,1130,1660,1963,2013
1150,3000,0,0,5,1150,0,1906,0
3290,11446,0,0,3,3290,0,1992,0
3400,247421,0,0,3,3400,0,2001,0
1200,4000,0,0,3,1070,130,1940,1996
2160,8005,0,0,3,2160,0,1993,0
1450,4000,0,1,4,950,500,1948,0
3240,3600,0,0,3,2060,1180,2008,0
1470,1691,0,0,3,1000,470,2007,0
2360,5226,0,0,3,2360,0,2001,0
2230,9053,0,0,4,2230,0,1987,0
2630,48706,0,0,3,2630,0,1986,0
1010,25000,0,0,3,1010,0,1966,1963
1445,1471,0,0,3,1300,145,2003,0
2380,6000,0,0,3,1320,1060,1935,1974
2830,13059,0,0,3,2830,0,1998,2006
3010,46173,0,0,3,3010,0,1996,0
2000,9000,0,0,4,2000,0,1978,2000
2020,3600,0,0,3,2020,0,1998,2006
2030,6326,0,0,3,2030,0,1993,0
2550,11160,0,0,3,2550,0,1994,0
970,13700,0,0,3,970,0,1949,1998
1540,12446,0,0,5,1540,0,1967,0
1396,111949,0,0,3,1396,0,1940,1997
2780,7875,0,0,3,2780,0,2006,0
2220,8797,0,0,3,2220,0,1977,2004
2350,13402,0,3,3,1670,680,1994,0
2760,40946,0,0,5,2760,0,1978,0
4460,26027,0,0,3,4460,0,1992,0
1440,4421,0,0,3,1440,0,2007,0
5330,6000,0,2,3,3570,1760,2006,0
2220,4228,0,0,3,2220,0,2014,0
5305,8401,0,2,3,3745,1560,2005,0
3880,13095,0,3,3,3700,180,2009,0
3810,8519,0,1,3,2680,1130,2007,0
1960,1168,0,0,3,1600,360,2007,0
1530,1131,0,0,3,1530,0,2009,0
3250,34293,0,0,4,3250,0,1983,0
1750,7208,0,0,3,1750,0,1994,0
3440,35021,0,0,3,3440,0,1983,2009
1170,14149,0,0,5,880,290,1962,0
870,5330,0,0,3,870,0,1969,2014
2930,18199,0,0,3,2930,0,1998,2006
3160,12824,0,2,4,1820,1340,1966,0
800,3330,0,0,3,800,0,1918,0
2350,8001,0,0,4,2350,0,1987,0
1060,16470,0,0,3,1060,0,1977,2004
2060,12558,0,0,4,1350,710,1984,0
1560,1750,0,0,4,780,780,1904,0
3000,42200,0,3,3,1500,1500,1950,2005
1660,4800,0,0,3,1660,0,1907,1983
1650,5100,0,0,5,1040,610,1908,0
3220,8936,0,0,3,2450,770,1990,2009
2320,7500,0,0,3,2320,0,1976,0
2750,14982,0,3,3,1720,1030,1981,2013
910,6000,0,0,2,910,0,1956,0
840,867,0,0,3,840,0,2005,0
1470,1578,0,0,3,1090,380,2007,0
2040,10812,0,0,4,2040,0,1943,0
1100,4046,0,4,4,1100,0,1922,0
940,8532,0,0,4,940,0,1959,0
1110,10500,0,0,5,1110,0,1978,0
2200,8100,0,0,5,1400,800,1942,0
2860,59612,1,4,3,1510,1350,1948,2003
740,11250,0,0,2,740,0,1938,0
2740,8520,0,2,3,1370,1370,1954,2005
1250,7300,0,0,4,1250,0,1956,0
3140,8060,0,0,3,3140,0,1991,0
820,10270,0,0,3,820,0,1954,2005
2570,7264,0,0,3,1720,850,1998,2006
2350,8140,0,0,4,1430,920,1977,0
3600,9200,0,4,4,2100,1500,1976,1992
1580,8000,0,0,3,1040,540,1967,2011
1070,5824,0,2,5,1070,0,1949,0
1070,6109,0,0,5,1070,0,1951,0
1640,5000,0,0,3,1640,0,1907,1983
2890,12130,0,3,4,2830,60,1987,0
1220,7876,0,0,3,1220,0,1966,1963
1400,4500,0,0,3,900,500,1922,2008
1040,6250,0,0,3,1040,0,1942,1999
980,10640,0,0,5,980,0,1978,0
3340,10890,0,0,3,2240,1100,1963,2000
6040,219542,0,0,3,4100,1940,1996,0
1900,1612,0,0,3,1430,470,2008,0
1740,7292,0,0,3,1020,720,1962,2003
2000,3207,0,0,4,1100,900,1916,0
1610,7200,0,0,3,1090,520,1973,2013
3240,13978,0,0,3,1860,1380,1977,2004
2230,9600,0,0,3,1320,910,1978,0
1160,2174,0,0,3,1160,0,1998,2006
2410,6000,0,0,5,1410,1000,1950,0
590,10945,0,0,3,590,0,1983,2009
2600,17388,0,0,3,2600,0,1996,0
2170,8240,0,0,4,1370,800,1968,0
2080,4000,0,0,3,2080,0,1912,2000
2860,12394,0,0,3,2860,0,1999,0
2980,8107,0,0,3,2980,0,2000,0
1230,987,0,0,3,1060,170,2011,0
2260,7005,0,1,4,1130,1130,1947,1988
2200,14925,0,0,3,1100,1100,1982,0
3030,12590,0,0,4,3030,0,1988,0
1060,1600,0,0,3,1060,0,1979,2014
4260,18687,0,0,3,4260,0,1996,0
998,844,0,0,3,798,200,2007,0
2052,3723,0,0,3,2052,0,2014,0
3150,6202,0,0,3,3150,0,2005,0
1950,7221,0,0,4,1950,0,2006,0
1347,1292,0,0,3,1347,0,2010,0
3860,5474,0,0,3,3860,0,2007,0
5060,10320,0,0,3,5060,0,2008,0
1360,885,0,0,3,1360,0,2008,0
2760,6000,0,0,3,2760,0,2006,0
2420,4670,0,0,3,2420,0,2013,1923
2450,4332,0,0,3,2450,0,2010,0
1280,959,0,0,3,1280,0,2005,0
1550,3569,0,0,3,1550,0,2011,0
550,1279,0,0,3,550,0,2008,0
1520,1588,0,0,3,1240,280,2007,0
1670,4005,0,0,4,1170,500,1939,1989
430,5050,0,0,2,430,0,1912,0
2380,9614,0,0,4,2380,0,1991,0
960,9633,0,0,5,960,0,1982,0
1920,6862,0,2,3,1120,800,1952,2008
3680,5854,0,3,3,2060,1620,1967,2011
2530,9200,0,0,5,1570,960,1976,0
3840,16905,0,0,3,3840,0,1991,0
1240,3600,0,0,5,1240,0,1926,0
1300,11867,0,0,4,1300,0,1975,0
2380,12067,0,0,3,2380,0,2002,0
1300,44431,0,0,5,1300,0,1958,0
780,13500,0,0,4,780,0,1946,1989
1810,39639,0,0,3,1230,580,1970,2014
2420,12676,0,0,3,2420,0,1911,1986
1280,2580,0,0,3,1280,0,1910,2014
1680,6500,0,0,4,1140,540,1941,1998
2510,5400,0,0,3,2510,0,1992,0
1700,8645,0,0,3,1700,0,1955,2005
1680,3420,0,0,3,960,720,1992,0
820,59677,0,0,3,820,0,1999,0
4380,42769,0,0,5,4380,0,1983,0
2600,10092,0,0,3,2600,0,1984,0
3400,7452,0,0,3,3400,0,1999,0
2120,8399,0,0,4,1320,800,1942,1982
2250,5700,0,0,3,1200,1050,1951,1994
1800,5612,0,0,4,1200,600,1942,1982
2210,7620,0,0,3,2210,0,1994,0
1560,4080,0,0,3,1560,0,1923,1982
2430,20720,0,0,3,2430,0,1967,2011
